,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,approved
0,GP,F,18,U,A,mother,2,2,0,no,no,3,4,0,11,11,1.0,1.0
1,GP,F,17,U,T,father,1,2,0,no,yes,3,2,9,11,11,1.0,1.0
2,GP,F,15,U,T,mother,1,2,0,no,yes,3,6,12,13,12,1.0,1.0
3,GP,F,15,U,T,mother,1,3,0,no,yes,5,0,14,14,14,1.0,1.0
4,GP,F,16,U,T,father,1,2,0,no,no,5,0,11,13,13,1.0,1.0
5,GP,M,16,U,T,mother,1,2,0,no,yes,5,6,12,12,13,1.0,1.0
6,GP,M,16,U,T,mother,1,2,0,no,yes,3,0,13,12,13,1.0,1.0
7,GP,F,17,U,A,mother,2,2,0,no,no,1,2,10,13,13,1.0,1.0
8,GP,M,15,U,A,mother,1,2,0,no,yes,1,0,15,16,17,0.0,1.0
9,GP,M,15,U,T,mother,1,2,0,no,yes,5,0,12,12,13,1.0,1.0
10,GP,F,15,U,T,mother,1,2,0,no,yes,2,2,14,14,14,1.0,1.0
11,GP,F,15,U,T,father,3,3,0,no,yes,4,0,10,12,13,1.0,1.0
12,GP,M,15,U,T,father,1,1,0,no,yes,5,0,12,13,12,1.0,1.0
13,GP,M,15,U,T,mother,2,2,0,no,yes,3,0,12,12,13,1.0,1.0
14,GP,M,15,U,A,other,1,3,0,no,yes,3,0,14,14,15,1.0,1.0
15,GP,F,16,U,T,mother,1,1,0,no,yes,2,6,17,17,17,0.0,1.0
16,GP,F,16,U,T,mother,1,3,0,no,yes,2,10,13,13,14,1.0,1.0
17,GP,F,16,U,T,mother,3,2,0,no,no,4,2,13,14,14,1.0,1.0
18,GP,M,17,U,T,mother,1,1,3,yes,yes,5,2,8,8,7,0.0,0.0
19,GP,M,16,U,T,father,1,1,0,no,yes,5,6,12,12,12,1.0,1.0
20,GP,M,15,U,T,mother,1,2,0,no,yes,1,0,12,13,14,1.0,1.0
21,GP,M,15,U,T,father,1,1,0,yes,yes,5,0,11,12,12,1.0,1.0
22,GP,M,16,U,T,mother,1,2,0,no,yes,5,0,12,13,14,1.0,1.0
23,GP,M,16,U,T,mother,2,2,0,no,yes,5,2,10,10,10,1.0,1.0
24,GP,F,15,R,T,mother,1,3,0,no,yes,5,2,10,11,10,1.0,1.0
25,GP,F,16,U,T,mother,1,1,0,no,yes,5,6,10,11,12,1.0,1.0
26,GP,M,15,U,T,mother,1,1,0,no,yes,5,8,11,12,12,1.0,1.0
27,GP,M,15,U,T,mother,1,1,0,no,yes,1,0,11,11,11,1.0,1.0
28,GP,M,16,U,A,mother,1,2,0,yes,yes,5,2,12,12,13,1.0,1.0
29,GP,M,16,U,T,mother,1,2,0,yes,yes,5,4,12,11,12,1.0,1.0
30,GP,M,15,U,T,mother,1,2,0,yes,yes,5,0,10,11,11,1.0,1.0
31,GP,M,15,U,T,mother,2,2,0,no,yes,5,2,15,15,15,1.0,1.0
32,GP,M,15,R,T,mother,1,2,0,no,yes,5,0,13,14,15,1.0,1.0
33,GP,M,15,U,T,mother,1,2,0,no,yes,2,0,13,12,12,1.0,1.0
34,GP,M,16,U,T,mother,1,1,0,no,yes,5,4,12,12,12,1.0,1.0
35,GP,F,15,U,T,father,2,1,0,no,no,5,4,11,11,11,1.0,1.0
36,GP,M,15,U,T,mother,1,3,0,no,yes,4,0,14,14,14,1.0,1.0
37,GP,M,16,R,A,mother,2,3,0,no,yes,5,4,13,13,13,1.0,1.0
38,GP,F,15,R,T,mother,1,3,0,no,yes,5,2,11,12,12,1.0,1.0
39,GP,F,15,R,T,mother,1,1,0,no,no,2,8,14,13,12,1.0,1.0
40,GP,F,16,U,T,mother,2,2,0,no,yes,3,16,11,11,10,0.0,0.0
41,GP,M,15,U,T,other,1,1,0,no,yes,5,8,10,11,11,1.0,1.0
42,GP,M,15,U,T,father,1,2,0,no,yes,5,0,14,15,15,1.0,1.0
43,GP,M,15,U,T,father,1,1,0,no,yes,1,0,9,10,10,1.0,1.0
44,GP,F,16,U,T,father,2,2,1,no,yes,5,14,10,11,11,1.0,1.0
45,GP,F,15,U,A,mother,1,2,0,yes,yes,5,4,10,11,11,1.0,1.0
46,GP,F,16,U,A,mother,1,2,0,no,yes,3,6,13,12,13,1.0,1.0
47,GP,M,16,U,T,mother,1,4,0,no,yes,2,2,17,17,17,0.0,1.0
48,GP,M,15,U,T,mother,1,2,0,no,no,5,4,11,12,13,1.0,1.0
49,GP,F,15,U,T,father,1,2,0,no,yes,3,2,13,12,12,1.0,1.0
50,GP,F,16,U,T,mother,3,2,0,no,yes,4,0,14,13,13,1.0,1.0
51,GP,F,15,U,T,mother,1,2,0,no,yes,5,0,16,14,16,0.0,1.0
52,GP,M,15,U,A,father,2,1,0,no,no,5,4,10,9,9,0.0,0.0
53,GP,F,15,U,T,mother,1,1,0,no,yes,5,0,13,12,12,1.0,1.0
54,GP,F,15,U,A,mother,1,1,0,no,yes,1,0,13,12,13,1.0,1.0
55,GP,F,16,U,A,mother,1,2,0,no,yes,2,2,12,13,12,1.0,1.0
56,GP,F,15,U,A,mother,1,2,0,no,yes,1,0,15,14,15,1.0,1.0
57,GP,M,15,U,T,mother,1,2,0,no,no,5,8,15,15,16,0.0,1.0
58,GP,M,15,U,T,father,1,2,0,no,yes,5,0,14,13,14,1.0,1.0
59,GP,F,16,U,T,mother,1,2,0,yes,yes,5,2,16,15,16,0.0,1.0
60,GP,F,16,R,T,mother,1,2,0,no,no,4,0,17,16,16,0.0,1.0
61,GP,F,16,U,T,father,4,1,0,no,yes,5,0,10,10,16,0.0,1.0
62,GP,F,16,U,T,father,1,2,0,no,yes,1,0,13,13,10,1.0,1.0
63,GP,F,16,U,T,mother,1,3,0,no,yes,4,0,14,13,13,1.0,1.0
64,GP,F,15,U,T,father,1,2,0,no,yes,2,0,13,12,12,1.0,1.0
65,GP,F,16,U,T,mother,3,2,0,no,yes,1,2,16,15,16,0.0,1.0
66,GP,M,15,U,A,mother,1,4,0,no,yes,3,0,11,12,12,1.0,1.0
67,GP,F,16,U,T,mother,1,4,0,no,yes,5,0,10,9,10,1.0,1.0
68,GP,F,15,R,T,mother,2,2,0,no,yes,4,0,11,10,11,1.0,1.0
69,GP,F,15,R,T,father,2,4,0,no,yes,3,6,15,15,15,1.0,1.0
70,GP,M,16,U,T,father,2,4,0,no,yes,5,2,13,11,11,1.0,1.0
71,GP,M,15,U,T,mother,1,4,0,no,yes,3,0,11,9,10,1.0,1.0
72,GP,F,15,R,T,mother,1,2,0,no,yes,5,2,13,11,11,1.0,1.0
73,GP,M,16,U,T,mother,1,1,0,no,no,5,0,13,13,14,1.0,1.0
74,GP,F,16,U,T,mother,1,2,0,no,yes,5,4,11,11,11,1.0,1.0
75,GP,M,15,U,T,mother,1,2,0,no,yes,5,0,11,11,11,1.0,1.0
76,GP,M,15,U,T,mother,2,4,0,no,yes,1,0,12,11,11,1.0,1.0
